config_id,n_components,n_init,max_iter,silhouette,davies_bouldin,variance_explained,combined_score
4,6,50,300,0.41606944390542977,1.441799673912674,0.8969394919245949,0.2718894765141624
5,6,50,500,0.41606944390542977,1.441799673912674,0.8969394919245949,0.2718894765141624
6,6,50,1000,0.41606944390542977,1.441799673912674,0.8969394919245949,0.2718894765141624
7,6,100,300,0.41606944390542977,1.441799673912674,0.8969394919245949,0.2718894765141624
8,6,100,500,0.41606944390542977,1.441799673912674,0.8969394919245949,0.2718894765141624
9,6,100,1000,0.41606944390542977,1.441799673912674,0.8969394919245949,0.2718894765141624
1,6,20,300,0.40587146775809413,1.3923280588559317,0.8969394919245949,0.26663866187250096
2,6,20,500,0.40587146775809413,1.3923280588559317,0.8969394919245949,0.26663866187250096
3,6,20,1000,0.40587146775809413,1.3923280588559317,0.8969394919245949,0.26663866187250096
13,8,50,300,0.39024833549780596,1.560722602305451,0.9743792410324407,0.23417607526726086
14,8,50,500,0.39024833549780596,1.560722602305451,0.9743792410324407,0.23417607526726086
15,8,50,1000,0.39024833549780596,1.560722602305451,0.9743792410324407,0.23417607526726086
16,8,100,300,0.39024833549780596,1.560722602305451,0.9743792410324407,0.23417607526726086
17,8,100,500,0.39024833549780596,1.560722602305451,0.9743792410324407,0.23417607526726086
18,8,100,1000,0.39024833549780596,1.560722602305451,0.9743792410324407,0.23417607526726086
22,10,50,300,0.38280775753476753,1.5221808288846548,0.9995215841823512,0.23058967464630206
23,10,50,500,0.38280775753476753,1.5221808288846548,0.9995215841823512,0.23058967464630206
24,10,50,1000,0.38280775753476753,1.5221808288846548,0.9995215841823512,0.23058967464630206
10,8,20,300,0.38056761522056376,1.516263909264083,0.9743792410324407,0.22894122429415545
11,8,20,500,0.38056761522056376,1.516263909264083,0.9743792410324407,0.22894122429415545
12,8,20,1000,0.38056761522056376,1.516263909264083,0.9743792410324407,0.22894122429415545
25,10,100,300,0.38411113551230597,1.6118160267411075,0.9995215841823512,0.22292953283819522
26,10,100,500,0.38411113551230597,1.6118160267411075,0.9995215841823512,0.22292953283819522
27,10,100,1000,0.38411113551230597,1.6118160267411075,0.9995215841823512,0.22292953283819522
19,10,20,300,0.36555101132743584,1.63492249361326,0.9995215841823512,0.20205876196610983
20,10,20,500,0.36555101132743584,1.63492249361326,0.9995215841823512,0.20205876196610983
21,10,20,1000,0.36555101132743584,1.63492249361326,0.9995215841823512,0.20205876196610983
